id,WKT,name,SKU1,SKU2,SKU3,SKU4,SKU5
1,POINT (139.7154827 35.73002809999999),UNIQLO Ikebukuro Sunshine 60-dori Store,44,97,78,37,38
2,POINT (139.6996333 35.69247970000001),UNIQLO Shinjuku West,75,77,44,45,94
3,POINT (139.7032076 35.67060399999999),UNIQLO Harajuku,53,64,44,17,12
4,POINT (139.6984209 35.6594387),UNIQLO Shibuya Dōgenzaka,26,83,55,70,87
5,POINT (139.7634686 35.6702448),Uniqlo Ginza Flagshipstore,88,39,13,51,68
6,POINT (139.7651281 35.67376369999999),UNIQLO,84,6,48,92,99
7,POINT (139.774273 35.7073638),UNIQLO,81,97,30,79,17
8,POINT (139.7751688 35.7114327),UNIQLO,2,46,50,76,61
9,POINT (139.3457198 35.595133),UNIQLO,45,71,62,79,79
10,POINT (139.3700376 35.57327739999999),UNIQLO,13,68,48,8,64
11,POINT (139.4376571 35.5322657),UNIQLO Sagami-Ono Station Square,33,24,12,47,46
12,POINT (139.6127038 35.5988066),UNIQLO,78,60,68,74,62
13,POINT (139.6111977 35.586431),Uniqlo Kawasaki City Plaza Street shop,78,32,24,59,72
14,POINT (139.6590118 35.5759654),Uniqlo,94,60,60,63,41
15,POINT (139.6953259 35.533185),UNIQLO LAZONA Kawasaki Store,27,2,18,41,10
16,POINT (139.6978892 35.5315536),UNIQLO,82,42,2,57,90
17,POINT (139.7001349 35.5311654),UNIQLO Kawasaki Dice Store,62,32,75,48,74
18,POINT (139.460393 35.6823436),UNIQLO Frespo Fuchu store,59,95,63,42,29
19,POINT (139.4801235 35.6706553),UNIQLO,56,29,87,51,71
20,POINT (139.6996333 35.69247970000001),UNIQLO Shinjuku West,17,80,95,88,23
21,POINT (139.7032076 35.67060399999999),UNIQLO Harajuku,1,37,100,6,89
22,POINT (139.7309151 35.6658189),UNIQLO Tokyo Midtown store,67,17,37,14,6
23,POINT (139.7670556 35.6799553),UNIQLO,66,78,90,67,57
24,POINT (139.7934726 35.71392139999999),UNIQLO Asakusa Store,55,24,4,63,72
25,POINT (139.7535839 35.7071104),UNIQLO Tokyo Dome City LaQua Store,56,17,79,79,37
26,POINT (139.7648639 35.6817187),UNIQLO Echika Fit Tokyo Marunouchi Line Paid Area Shop,88,25,65,63,27
27,POINT (139.770035 35.6799777),UNIQLO Tokyo Station Yaesu Underground Shopping Mall,65,39,79,1,46
28,POINT (139.6656499 35.70692),UNIQLO Nakano Sun Mall Store,80,11,100,69,11
29,POINT (139.5448297 35.70109550000001),UNIQLO Ito-Yokado Musashisakai Store,10,17,52,6,93
30,POINT (139.5433693 35.6526196),UNIQLO Chofu Parco shop,36,57,70,71,75
31,POINT (139.5860622 35.6613845),UNIQLO Sengawa Store,54,51,45,38,16
32,POINT (139.5786062 35.7030338),UNIQLO atré Kichijoji,41,33,98,56,46
33,POINT (139.5773865 35.7036769),UNIQLO Kichijōji Store,2,49,52,100,62
